Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Abellio,Ceres,32.00,33.20,293.09,"Crater, craters","Dec 04, 2015",Gaul god of the apple tree.
Achita,Ceres,40.00,25.82,65.96,"Crater, craters","Sep 21, 2015",Nigerian god of agriculture.
Ahuna Mons,Ceres,20.00,-10.48,316.20,"Mons, montes","Oct 01, 2015","Sumi tribe (Nagaland, NE India) traditional post-harvest festival, signifies the celebration of the seasons harvest’s thanksgiving."
Annona,Ceres,60.00,-48.14,8.43,"Crater, craters","Dec 14, 2015",Roman goddess of crops and of the harvest.
Anura,Ceres,37.00,-13.92,11.79,"Crater, craters","Oct 01, 2015",Arawakan (Guyana) spirit of the tobacco seeds.
Aristaeus,Ceres,35.80,23.43,97.68,"Crater, craters","Sep 16, 2016",Greek god of agriculture.
Asari,Ceres,56.00,83.03,319.88,"Crater, craters","Jul 03, 2015",Syrian god of agriculture.
Attis,Ceres,22.00,-73.07,257.84,"Crater, craters","Oct 15, 2015",Greek/Phrygian god of vegetation and of fertility.
Axomama,Ceres,5.00,22.80,131.90,"Crater, craters","Aug 11, 2017","Incan goddess of potato, “;Potato-Mother.“;"
Aymuray Tholi,Ceres,81.00,28.78,335.61,"Tholus, tholi","Aug 22, 2016",Quechua (Peru) harvest festival (in May). Aymuray means “the song of the harvest”.
Azacca,Ceres,49.91,-6.66,218.40,"Crater, craters","Oct 01, 2015",Haitian god of agriculture.
Bagach Tholus,Ceres,4.30,20.04,238.91,"Tholus, tholi","Mar 27, 2019",Belarusian harvest festival (21 September).
Baltay Catena,Ceres,83.50,-49.34,274.49,"Catena, catenae","Jun 20, 2016","Mordvinian (Volga River Region, Russia) agricultural festival."
Begbalel,Ceres,102.00,17.71,325.35,"Crater, craters","Sep 16, 2016","Yap Islands (Caroline Islands, Micronesia) guardian of the taro fields who controls the yield of the crops."
Belun,Ceres,36.04,-33.71,356.25,"Crater, craters","Oct 15, 2015",Belarus god of the fields.
Besua,Ceres,17.00,-42.35,300.21,"Crater, craters","Oct 15, 2015",Egyptian grain god.
Bilwis,Ceres,7.00,86.20,79.60,"Crater, craters","Aug 11, 2017",German corn spirit.
Binayo,Ceres,16.00,86.40,145.20,"Crater, craters","Aug 11, 2017","Philippine (Hanunoo/Mangyan, Mindoro Island) female spirit, caretaker of the rice spirits."
Bonsu,Ceres,31.00,1.74,93.21,"Crater, craters","Dec 14, 2015",Bateg/Batek (Malaysia) god who watches over the fruits and flowers.
Braciaca,Ceres,8.00,-22.77,84.37,"Crater, craters","Sep 16, 2016",Celtic god of malt.
Cacaguat,Ceres,13.60,-1.19,143.61,"Crater, craters","Sep 16, 2016",Nicaraguan god of cacao.
Cachimana,Ceres,18.00,85.30,213.20,"Crater, craters","Aug 11, 2017","Atabapo and Inirida tribes' (Upper Orinoco River region, Venezuela) vegetation god who ripens the crops and controls the seasons."
Centeotl,Ceres,6.00,18.95,141.22,"Crater, craters","Sep 16, 2016",Mexican god/goddess of maize and agriculture.
Cerealia Facula,Ceres,14.00,19.70,239.60,"Facula, faculae","Nov 26, 2016",The major festival in Ancient Rome to celebrate for the grain goddess Ceres (8 days in mid- to late April).
Cerealia Tholus,Ceres,3.20,19.61,239.65,"Tholus, tholi","Mar 27, 2019",The major festival in Ancient Rome to celebrate for the grain goddess Ceres (8 days in mid- to late April).
Chaminuka,Ceres,122.00,-58.58,131.20,"Crater, craters","Oct 15, 2015",Shona (Zimbabwe) spirit who provides rains in times of droughts.
Coniraya,Ceres,135.00,39.90,65.73,"Crater, craters","Jul 03, 2015",Inca god who was responsible for the system of agricultural terracing and irrigation.
Consus,Ceres,64.00,-20.70,200.50,"Crater, craters","Mar 25, 2016",Italian agricultural god who watched over the harvested and stored crop.
Cosecha Tholus,Ceres,50.00,42.15,10.38,"Tholus, tholi","Aug 22, 2016","Colombian harvest festival, Fiestas de La Cosecha, held in August at Pereira. (Cosecha means ‘harvest’ in Spanish)."
Cozobi,Ceres,24.00,45.33,287.31,"Crater, craters","Dec 04, 2015",Zapotec (S. Mexico) god of maize and of abundant food.
Dada,Ceres,12.00,58.63,336.76,"Crater, craters","Dec 04, 2015",Nigerian god of vegetables.
Dalien Tholus,Ceres,20.00,3.82,5.21,"Tholus, tholi","Dec 14, 2015",Bon Dalien; Khmer (Cambodia) festival at the end of the rice harvest (January – February).
Damia,Ceres,7.00,81.70,315.50,"Crater, craters","Aug 11, 2017",Greek goddess of the cornfield and of crops.
Dankdag Labes,Ceres,23.50,78.38,39.21,"Labes, labēs","Mar 27, 2019",Dutch (The Netherlands) day of thanksgiving for the crop (1st Wednesday of November).
Dantu,Ceres,126.00,24.30,138.23,"Crater, craters","Jul 03, 2015",Ghanan god associated with the planting of the corn.
Darzamat,Ceres,92.00,-44.21,76.40,"Crater, craters","Oct 15, 2015","Darzamate, Dārza-māte; Latvian spirit, “;Mother of the garden.“;"
Datan,Ceres,60.00,59.50,252.31,"Crater, craters","Sep 21, 2015",Polish god of the tilling of the soil.
Dikhan,Ceres,21.00,81.80,78.10,"Crater, craters","Aug 11, 2017",Dikhan baba; Kazakh preislamic deity of farming.
Doliku,Ceres,15.00,-40.79,5.88,"Crater, craters","Dec 14, 2015",Dahomey (Benin) god of the fields.
Duginavi,Ceres,155.00,39.20,4.29,"Crater, craters","Sep 16, 2016","Kogi (N. Colombia) god, who taught people agriculture."
Emesh,Ceres,20.00,11.10,158.20,"Crater, craters","Aug 25, 2017","Sumerian god of vegetation, agriculture."
Enkimdu,Ceres,9.00,78.90,259.10,"Crater, craters","Aug 11, 2017",Sumerian god of farming.
[Erntedank Planum],Ceres,555.00,15.00,230.00,"Planum, plana","Dec 04, 2015","Erntedanktag/Erntedankfest; Harvest thanksgiving festival in Germany, Austria and Switzerland (in September – October)."
Ernutet,Ceres,53.40,52.93,45.52,"Crater, craters","Sep 21, 2015",Egyptian cobra-headed goddess of the harvest.
Ezinu,Ceres,116.00,43.24,195.70,"Crater, craters","Jul 03, 2015",Sumerian goddess of the grain.
Fejokoo,Ceres,68.00,29.15,312.11,"Crater, craters","Jul 03, 2015",Nigerian god who supplied the yams.
Fluusa,Ceres,60.00,-31.31,178.22,"Crater, craters","Oct 15, 2015","Oscan (ancient S. Italy) goddess of flowers, counterpart of Roman goddess Flora."
Gaue,Ceres,80.00,30.81,86.16,"Crater, craters","Jul 03, 2015",Germanic goddess to whom offerings are made in harvesting the rye.
Gerber Catena,Ceres,100.00,-38.30,215.50,"Catena, catenae","Oct 15, 2015","Udmurt (Volga-Ural Region, Russia) agricultural festival after the spring sowing (June)."
Geshtin,Ceres,80.00,57.00,258.81,"Crater, craters","Sep 21, 2015",Sumerian/Babylonian goddess of the vine.
Ghanan,Ceres,68.00,76.56,30.76,"Crater, craters","Sep 21, 2015",Mayan god of maize.
Hakumyi,Ceres,29.20,51.42,27.75,"Crater, craters","Sep 16, 2016","Paraguay, Brazil, and Bolivia spirit helpful in gardening."
Halki,Ceres,20.00,25.90,334.60,"Crater, craters","Aug 25, 2017",Hittite (Asia Minor) goddess of grain.
Hamori,Ceres,60.00,-60.86,79.44,"Crater, craters","Oct 15, 2015","Japanese god, protector of tree leaves."
Hanami Planum,Ceres,555.00,15.00,230.00,"Planum, plana","Jun 20, 2016",Japanese cherry blossom festival.
Hatipowa,Ceres,40.00,-16.08,357.71,"Crater, craters","Sep 16, 2016",Indian god of agriculture.
Haulani,Ceres,34.00,5.80,10.77,"Crater, craters","Jul 03, 2015",Hau-lani; Hawaiian plant goddess.
Heneb,Ceres,39.00,10.87,191.04,"Crater, craters","Oct 01, 2015","Egyptian god of grain, produce, and vineyards."
Homowo Regio,Ceres,360.00,19.49,249.78,"Regio, regiones","Jul 29, 2020",Ga people (Ghana) harvest festival to celebrate all local crops. Celebrations begin in May and culminate in August.
Homshuk,Ceres,70.00,11.23,94.06,"Crater, craters","Oct 01, 2015",Popoluca (S. Mexico) spirit of corn (maize).
Hosil Tholus,Ceres,31.00,43.31,320.71,"Tholus, tholi","Aug 22, 2016",Hosil bayrami; Uzbek (Central Asia) cotton harvest festival.
Ialonus,Ceres,16.50,48.15,168.53,"Crater, craters","Sep 16, 2016",British god of the cultivated field and of the meadows.
Ikapati,Ceres,50.00,33.84,45.61,"Crater, craters","Sep 21, 2015",Philippine goddess of the cultivated lands.
Inamahari,Ceres,68.00,14.13,89.22,"Crater, craters","Oct 01, 2015","Ancient Siouan (S. Carolina, USA) pair of male and female deities invoked for success at the sowing season."
Inkosazana,Ceres,40.00,31.80,155.10,"Crater, craters","Aug 11, 2017",Zulu (South Africa) agricultural goddess.
Insitor,Ceres,26.00,-10.71,124.87,"Crater, craters","Dec 14, 2015",Roman agricultural deity in charge of the sowing.
Jacheongbi,Ceres,31.00,-69.20,2.30,"Crater, craters","Aug 25, 2017","Korean Earth goddess who brought 5 grains to Jeju island, and began agriculture."
Jaja,Ceres,22.00,52.09,125.27,"Crater, craters","Sep 21, 2015",Abkhazian (Transcaucasia) harvest goddess.
Jarimba,Ceres,69.00,-24.08,21.25,"Crater, craters","Oct 15, 2015",Arunta/Aranda (Australia) god of flowers and fruit.
Jarovit,Ceres,66.00,67.90,284.74,"Crater, craters","Sep 21, 2015","Slavic god of fertility and harvest, who comes down to the Underworld after every harvest and returns to a usual world every spring."
Juling,Ceres,20.00,-35.90,168.48,"Crater, craters","Dec 04, 2015",Sakai/Orang Asli (Malaysia) spirit of the crops.
Jumis,Ceres,15.00,51.60,316.40,"Crater, craters","Aug 25, 2017",Latvian god of fertility of the field.
Junina Catenae,Ceres,263.00,26.05,214.94,"Catena, catenae","Jun 20, 2016",Brazilian festival with a rural theme held in June at end of rainy season to give thanks for fertile rain.
Kahukura,Ceres,6.30,61.40,221.40,"Crater, craters","Aug 11, 2017",Maori (New Zealand) god of kumara (sweet potato) crops.
Kaikara,Ceres,72.00,42.82,222.43,"Crater, craters","Dec 04, 2015",Konjo and Banyoro/Nyoro (Uganda) goddess of harvest.
Kait,Ceres,0.40,-2.10,0.00,"Crater, craters","Jul 24, 2015",Hattic goddess of grain (Asia Minor).
Kaneki,Ceres,31.50,23.80,294.60,"Crater, craters","Aug 25, 2017","Micronesian (Pohnpei/Ponape Island, Caroline Islands) god of the coconut palm."
Kekri Tholus,Ceres,4.60,19.85,240.59,"Tholus, tholi","Mar 27, 2019",Finnish harvest festival (first Saturday of November).
Kerwan,Ceres,280.00,-10.77,123.99,"Crater, craters","Jul 03, 2015","Hopi spirit of the sprouting maize (Arizona, SW USA)."
Kiriamma,Ceres,18.70,50.32,126.33,"Crater, craters","Sep 16, 2016","Veddan (Sri Lanka) goddess, provider of food (“Milk mother”)."
Kirnis,Ceres,115.00,4.90,264.30,"Crater, craters","Jul 03, 2015","Lithuanian spirit, guardian of cherry trees."
Kokopelli,Ceres,34.00,18.30,124.50,"Crater, craters","Aug 25, 2017","Pueblo (SW USA) fertility deity, who presides over agriculture."
Kondos,Ceres,44.00,-19.34,17.31,"Crater, craters","Oct 01, 2015",Finnish agricultural deity.
Kumitoga,Ceres,96.00,-10.09,178.83,"Crater, craters","Oct 01, 2015",Polynesian goddess of plant life.
Kupalo,Ceres,26.00,-39.44,173.20,"Crater, craters","Dec 04, 2015",Russian god of vegetation and of the harvest.
Kwanzaa Tholus,Ceres,48.00,32.06,326.68,"Tholus, tholi","Aug 22, 2016",African-American festival (“;First Fruits“;) based on ancient African harvest festivals (from December 26 to January 1).
Laukumate,Ceres,29.70,65.03,159.42,"Crater, craters","Sep 16, 2016","Latvian spirit, “Mother of the fields.”"
Liber,Ceres,23.00,42.56,37.80,"Crater, craters","Sep 21, 2015",Roman god of agriculture.
Liberalia Mons,Ceres,90.00,6.02,311.01,"Mons, montes","Dec 14, 2015","Ancient Roman festival to honor Liber and Libera, deities of the vine, worshiped, along with Ceres as fertility gods, held on March 17."
Lociyo,Ceres,37.80,-6.53,228.83,"Crater, craters","Jun 20, 2016",Zapotec (Mexico) deity to whom a ceremony is performed when the first chili plant is cut.
Lohri Tholus,Ceres,3.80,19.66,238.66,"Tholus, tholi","Mar 27, 2019","Punjabi (Pakistan, NW India) harvest festival. Held on January 13."
Lono,Ceres,20.00,-36.61,304.37,"Crater, craters","Oct 15, 2015",Hawaiian god of agriculture.
Lughnasa Tholus,Ceres,35.87,20.20,326.30,"Tholus, tholi","Nov 30, 2018","Celtic harvest festival, traditionally celebrated on August 1."
Makahiki Labyrinthus,Ceres,22.00,17.49,237.84,"Labyrinthus, labyrinthi","Mar 27, 2019","Hawaiian harvest festival in honor of Lono, a god of fertility, agriculture, and rainfall (lasts four months, from October through February)."
Meanderi,Ceres,103.00,-40.80,194.19,"Crater, craters","Oct 15, 2015","Ngaing (New Guinea) goddess of taro, sugar cane, and other foods."
Megwomets,Ceres,78.70,36.54,146.22,"Crater, craters","Sep 16, 2016","Yurok (California, USA) dwarf god of acorns and the distributor of vegetal abundance."
Messor,Ceres,40.00,49.93,233.73,"Crater, craters","Dec 04, 2015","Roman god of harvesting, of cutting of the grain."
Mikeli Tholus,Ceres,37.00,38.62,293.38,"Tholus, tholi","Aug 22, 2016",Mikeldiena; Latvian harvest festival. Held at the end of September.
