Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Argo Chasma,Charon,355.00,27.80,80.40,"Chasma, chasmata","Apr 11, 2018","Greek mythological ship sailed by Jason and his crew, the Argonauts, from Iolcos to Colchis to retrieve the Golden Fleece, described in the “;Argonautica“; epic poem by Apollonius Rhodius (3rd cen. BC)."
Butler Mons,Charon,90.60,-9.48,38.74,"Mons, montes","Apr 11, 2018","Octavia E., American author (1947-2006). Her “;Xenogenesis“; trilogy describes humankind’s departure from Earth and subsequent return."
Caleuche Chasma,Charon,400.00,72.50,241.80,"Chasma, chasmata","Apr 11, 2018","Chilote (southern Chile) legendary, sentient ghost ship, which could suddenly appear and then quickly disappears again, leaving no evidence of its presence."
Clarke Montes,Charon,74.60,-5.12,7.05,"Mons, montes","Apr 11, 2018","Sir Arthur C., British author (1917-2008). Many of his novels depict space explorations, among which the most notable is “;2001: A Space Odyssey“;, describing a voyage to Jupiter. This novel was adapted from the screenplay he co-wrote with Stanley Kubrick for the 1968 film."
Cora,Charon,9.00,17.09,351.72,"Crater, craters","Aug 05, 2020","Protagonist in the fiction novel The Underground Railroad, by US author Colson Whitehead (2016). She was a slave who undertook a long journey to freedom in the North through the network of routes and safe houses for fugitive southern slaves, depicted as an actual railroad."
Dorothy,Charon,261.00,58.53,40.58,"Crater, craters","Apr 11, 2018","American fictional character, protagonist of “;The Wonderful Wizard of Oz“; and other children’s novels, small girl who visited the magical Land of Oz."
Kubrick Mons,Charon,40.00,3.60,30.80,"Mons, montes","Apr 11, 2018","Stanley, American-British film director and screenwriter (1928-1999). His film “;2001: A Space Odyssey“; (1968) after the screenplay co-wrote with Arthur Clarke tells the story of humanity’s evolution from tool-using hominids to space explorers and beyond."
Mandjet Chasma,Charon,385.00,4.80,294.40,"Chasma, chasmata","Apr 11, 2018",Egyptian boat that carries the sun god Ra across the sky in the daytime.
McCaffrey Dorsum,Charon,420.00,74.28,294.89,"Dorsum, dorsa","Aug 05, 2020","Anne; US-Irish author of science fiction novels, including the Dragonriders of Pern series, which recounts the human colonization of the fictional planet Pern (1926-2011)."
Nasreddin,Charon,29.70,25.50,308.60,"Crater, craters","Apr 11, 2018","Hero of humorous folktales told throughout the Middle East, southern Europe and parts of Asia. Undertook numerous journeys with his donkey, upon which he is seated facing backwards. Supposed to be of a Turkish origin."
Nemo,Charon,44.00,-15.70,314.10,"Crater, craters","Apr 11, 2018","Captain of the Nautilus, a submarine, in the novels “;Twenty Thousand Leagues Under the Sea“; (1870) and “;The Mysterious Island“; (1874) by the French author Jules Verne (1825–1905). The stories recount fantastical undersea travels and explorations."
Pirx,Charon,90.00,55.20,256.30,"Crater, craters","Apr 11, 2018","Spaceship pilot, the main character in a series of fictional stories by the Polish author Stanislaw Lem (1921–2006). He travelled between the Earth, Moon and Mars."
Revati,Charon,40.00,20.70,35.40,"Crater, craters","Apr 11, 2018","Hindu mythological princess, who traveled through time and space in search of a suitor, described in the epic narrative “;Mahabharata“;."
Sadko,Charon,28.00,-16.10,331.20,"Crater, craters","Apr 11, 2018","Russian merchant in the medieval epic tale (Bylina), who traveled to the bottom of the sea."
