Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Acestes,Dione,108.00,50.10,243.37,"Crater, craters","Mar 17, 2008",King of Sicily.
Adrastus,Dione,38.50,-61.66,46.57,"Crater, craters",1982,"King of Argos, one of the seven against Thebes, and the only one to return alive."
Aeneas,Dione,161.00,25.89,46.27,"Crater, craters",1982,Hero of the Aeneid. The son of Anchises and Venus and a member of the royal family of Troy.
Alcander,Dione,120.00,-52.89,295.49,"Crater, craters","Feb 25, 2011","A Trojan defending Aeneas’ camp against the Rutulians, killed by Turnus."
Allecto,Dione,106.00,-7.73,224.56,"Crater, craters","Mar 17, 2008",One of the Furies.
Amastrus,Dione,62.40,-9.96,237.03,"Crater, craters","Mar 17, 2008","A Trojan, victim of Camilla."
Amata,Dione,76.00,5.17,279.81,"Crater, craters",1982,Mother of Lavinia (wife of Aeneas).
Amycus,Dione,27.30,-37.52,88.62,"Crater, craters","Mar 17, 2008","A Trojan, comrade of Aeneas."
Anchises,Dione,47.00,-34.00,65.00,"Crater, craters",1982,Aeneas' father.
Anna,Dione,14.20,-63.38,89.96,"Crater, craters","Mar 17, 2008",Sister and confidante of Dido.
Antenor,Dione,81.00,-7.00,11.54,"Crater, craters",1982,"Nephew of Priam. He escaped the fall of Troy and reached Italy before Aeneas, where he founded Padua."
Argiletum Fossae,Dione,224.00,65.18,32.10,"Fossa, fossae","Feb 25, 2011",A district of Rome near the Forum.
Arpi Fossae,Dione,330.00,47.47,130.80,"Fossa, fossae","Mar 17, 2008","Town in Apulia (now Puglia, southern Italy) founded after the Trojan war by Diomedes."
Ascanius,Dione,98.00,33.43,232.18,"Crater, craters","Mar 17, 2008",Son of Aeneas by Creusa.
Assaracus,Dione,60.00,32.65,8.79,"Crater, craters","Feb 25, 2011","Early king of Troy, son of Tros, brother of Ilus and Ganymede."
Aufidus Catena,Dione,275.00,-78.00,296.40,"Catena, catenae","Mar 17, 2008","River in the Apulian territory of Diomedes, now called the Ofanto."
Aulestes,Dione,50.00,9.90,147.73,"Crater, craters","Mar 17, 2008","Etruscan chief, ally of Aeneas."
Aurunca Chasmata,Dione,290.00,11.56,266.70,"Chasma, chasmata","Mar 17, 2008",An old town in Campania.
Butes,Dione,35.00,65.72,46.40,"Crater, craters",1982,A famous boxer who had been defeated by Dares.
Caieta,Dione,50.00,-24.71,79.63,"Crater, craters",1982,A nurse of Aeneas.
Camilla,Dione,31.90,-4.36,60.61,"Crater, craters","Feb 13, 2008",A warrior maiden; ally of Turnus.
Carthage Fossae,Dione,500.00,11.93,336.75,"Fossa, fossae","Mar 17, 2008",A Punic (Phoenician) city in North Africa.
[Carthage Linea],Dione,318.00,12.70,321.90,"Linea, lineae",1982,A Punic (Phoenician) city in North Africa.
Cassandra,Dione,13.00,-39.84,246.22,"Crater, craters",1982,Daughter of Priam; she could foretell the future.
Catillus,Dione,42.20,-2.38,275.30,"Crater, craters",1982,Brother of Tiburtus and twin brother of Coras.
Clusium Fossae,Dione,260.00,39.27,301.54,"Fossa, fossae","Mar 17, 2008","One of the twelve chief cities of Etruria, situated on the river Clanis."
Coras,Dione,43.00,0.39,268.45,"Crater, craters",1982,Brother of Tiburtus and twin brother of Catillus. He was founder of Tibur and an ally of Turnus against Aeneas.
Cretheus,Dione,29.00,-43.35,88.53,"Crater, craters","Mar 17, 2008",A Trojan warrior who took part in the defense of Aeneas’ camp against the Rutulians.
Creusa,Dione,36.20,49.19,76.32,"Crater, craters",1982,Daughter of Priam; first wife of Aeneas.
Daucus,Dione,80.00,-15.38,301.14,"Crater, craters","Mar 17, 2008","A Rutulian, father of the twins Thymber and Larides."
Dercennus,Dione,86.20,29.75,279.93,"Crater, craters","Mar 17, 2008",Ancient king of the Laurentians.
Dido,Dione,122.00,-23.97,18.82,"Crater, craters",1982,Tyrian princess who founded Carthage.
Drepanum Chasma,Dione,360.00,-46.00,265.00,"Chasma, chasmata","Mar 17, 2008","Coastal town of Sicily where Aeneas found a safe harbor during a raging storm, and where Anchises died."
Entellus,Dione,63.00,-10.93,210.54,"Crater, craters","Mar 17, 2008",Sicilian boxing champion.
Erulus,Dione,120.00,-35.00,104.76,"Crater, craters","Mar 17, 2008",Superhuman son of the goddess Feronia.
Eumelus,Dione,35.10,-0.10,65.96,"Crater, craters","Mar 17, 2008",A Trojan companion of Aeneas.
Eurotas Chasmata,Dione,1200.00,18.00,270.00,"Chasma, chasmata","Mar 17, 2008",The river on which Sparta stood.
