Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Ahmad,Enceladus,18.13,57.87,310.02,"Crater, craters",1982,Youngest son; brings father a magic apple; marries the Genie Peri Banu.
Ajib,Enceladus,15.68,61.68,239.39,"Crater, craters","Nov 17, 2009",Brother of Gharib in the tale “;The History of Gharib and His Brother Ajib.“;
Aladdin,Enceladus,30.53,62.69,22.14,"Crater, craters",1982,Hero of the tale; he has the magic lamp.
Al-Bakbuk,Enceladus,9.20,5.26,191.62,"Crater, craters","Nov 07, 2006",The barber's first brother in “;The Hunchback’s Tale.“;
Alexandria Sulcus,Enceladus,111.00,-75.63,137.56,"Sulcus, sulci","Nov 07, 2006",City in the tale “;The Sharper of Alexandria and the Chief of Police“; from Richard F. Burton's Arabian Nights.
Al-Fakik,Enceladus,15.20,35.52,306.55,"Crater, craters","Nov 07, 2006",The barber's third brother in “;The Hunchback’s Tale.“;
Al-Haddar,Enceladus,15.08,50.48,200.78,"Crater, craters","Nov 07, 2006",The barber's second brother in “;The Hunchback’s Tale.“;
Ali Baba,Enceladus,34.09,56.84,17.51,"Crater, craters",1982,Hero of tale who found a great treasure owned by 40 thieves.
Al-Kuz,Enceladus,10.15,-18.88,178.66,"Crater, craters","Nov 07, 2006",The barber’s fourth brother in “The Hunchback’s Tale.”
Al-Medinah Sulci,Enceladus,117.50,-50.70,358.60,"Sulcus, sulci","Feb 04, 2010",Place in the tale “;The Lovers of Al-Medinah.“;
Al-Mustazi,Enceladus,9.98,-21.09,201.75,"Crater, craters","Nov 07, 2006",Father of benevolent prince Al-Mustansir in “;The Hunchback’s Tale.“;
Al-Yaman Sulci,Enceladus,177.90,9.70,191.80,"Sulcus, sulci","Feb 04, 2010",Place in the tale “;The Man of Al-Yaman and His Six Slave-Girls.“;
Anbar Fossae,Enceladus,165.00,-8.76,323.32,"Fossa, fossae","Nov 07, 2006",City in the tale “;The Prior who became a Moslem.“;
Andalús Sulci,Enceladus,162.00,29.10,79.10,"Sulcus, sulci","Feb 04, 2010",City in the tale “;The Merchant’s Daughter and the Prince Al-Irak.“;
Ayyub,Enceladus,17.45,38.58,295.02,"Crater, craters","Nov 07, 2006","Damascus merchant, father of Ghanim and Fitnah in the “;Tale of Ghanim Bin Ayyub, the Distraught, the Thrall O’ Love.“;"
Aziz,Enceladus,10.52,17.73,348.49,"Crater, craters","Nov 07, 2006",Man betrothed to his cousin Azizah in “;The tale of Aziz and Azizah.“;
Baghdad Sulcus,Enceladus,176.00,-86.91,230.54,"Sulcus, sulci","Nov 07, 2006",City where the hunchback did his tailoring in “;The Hunchback’s Tale“; from Richard F. Burton's Arabian Nights.
Bahman,Enceladus,10.56,14.70,61.37,"Crater, craters","Nov 17, 2009","Oldest Prince, brother of Parwez and Perizadah in the tale “;The Two Sisters Who Envied Their Cadette.“;"
Bassorah Fossa,Enceladus,75.00,39.80,19.90,"Fossa, fossae",1982,Town from which Sindbad embarked on his 3rd voyage.
Behram,Enceladus,13.29,-15.43,181.49,"Crater, craters","Nov 07, 2006",Son of a Persian king in the tale “;Prince Behram and the Princess Al-Datma.“;
Bishangarh Fossae,Enceladus,163.00,-24.00,225.80,"Fossa, fossae","Feb 04, 2010",Place in the tale “;Prince Ahmad and the Fairy Peri Banu.“;
Bulak Sulcus,Enceladus,49.42,16.67,109.32,"Sulcus, sulci","Feb 04, 2010",Place in the tale “;Story of the Chief of the Bulak Police.“;
Cairo Sulcus,Enceladus,165.00,-81.62,154.48,"Sulcus, sulci","Nov 07, 2006",City in the “;Tale of Nur Al-Din Ali and his son Badr Al-Din Hassan.“;
Camphor Sulcus,Enceladus,77.00,-70.78,149.40,"Sulcus, sulci","Nov 07, 2006",Islands in the “;Tale of Aziz and Azizah.“;
Cashmere Sulci,Enceladus,260.00,-52.07,296.06,"Sulcus, sulci","Nov 07, 2006",City in “;The Goldsmith and the Cashmere Singing Girl.“;
Cufa Dorsa,Enceladus,90.00,3.19,286.17,"Dorsum, dorsa","Nov 07, 2006",City in the “;Tale of Kamar Al-Zaman.“;
Dalilah,Enceladus,15.51,51.55,249.65,"Crater, craters",1982,Crafty old crone who fools several men.
Damascus Sulcus,Enceladus,125.00,-80.59,285.87,"Sulcus, sulci","Nov 07, 2006","Home city of the merchant Ayyub, father of Ghanim and Fitnah in the “;Tale of Ghanim Bin Ayyub, the Distraught, the Thrall O’ Love.“;"
Daryabar Fossa,Enceladus,200.00,9.65,5.42,"Fossa, fossae",1982,“;Ocean region“;; land from which Princess Daryabar came.
Diyar Planitia,Enceladus,325.00,-13.40,251.95,"Planitia, planitiae",1982,Country where Khudadad's father ruled.
Duban,Enceladus,18.73,58.07,281.26,"Crater, craters",1982,Sage who cured King Yunan of leprosy.
Dunyazad,Enceladus,30.80,41.51,202.04,"Crater, craters",1982,Sister of Shahrazad.
Ebony Dorsum,Enceladus,70.00,5.74,280.54,"Dorsum, dorsa","Nov 07, 2006",City in the “;Tale of Kamar Al-Zaman.“;
Fitnah,Enceladus,15.54,45.39,289.99,"Crater, craters","Nov 07, 2006","Daughter of Ayyub, sister of Ghanim in the “;Tale of Ghanim Bin Ayyub, the Distraught, the Thrall O’ Love.“;"
Ghanim,Enceladus,14.18,38.74,280.78,"Crater, craters","Nov 07, 2006","Son of Ayyub, brother of Fitnah in the “;Tale of Ghanim Bin Ayyub, the Distraught, the Thrall O’Love.“;"
Gharib,Enceladus,26.00,81.12,241.15,"Crater, craters",1982,Hero of many tales.
Hamah Sulci,Enceladus,164.00,27.26,306.00,"Sulcus, sulci","Nov 07, 2006",City in the tale “;The Man's Dispute with the Learned Woman of the Relative Excellence of the Male and Female.“;
Harran Sulci,Enceladus,291.00,26.39,245.93,"Sulcus, sulci",1982,City where Khudadad's father ruled.
Harun,Enceladus,14.58,36.47,225.74,"Crater, craters","Nov 17, 2009","Harun al-Rashid; Caliph in many tales, for example “;Harun Al-Rashid and the Two Slave-Girls.“;"
Hassan,Enceladus,15.27,-31.57,188.91,"Crater, craters","Nov 07, 2006",Character in the tale “;Hassan of Bassorah.“;
Hisham,Enceladus,21.40,48.25,280.41,"Crater, craters","Nov 17, 2009",Caliph in the tale “;The Caliph Hisham and the Arab Youth.“;
