Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Abelard,Eros,1.10,-3.50,12.20,"Crater, craters",2003,"Peter; French philosopher, lover of Heloise (1079-1142)."
Aida,Eros,1.60,7.90,130.50,"Crater, craters",2003,"Ethiopian slave, beloved of Egyptian officer Radames in Verdi's opera “;Aida“; (Italy, 1870)."
Avtandil,Eros,1.20,-22.50,233.10,"Crater, craters",2003,"Lover of Tinatin in Shota Rustavely's novel “;Knight in tiger-skin“; (Georgia, 12th century)."
Bovary,Eros,0.80,-61.00,27.30,"Crater, craters",2003,"Romantic heroine of Flaubert's novel “;Madame Bovary“; (France, 19th century)."
Casanova,Eros,0.90,46.60,236.00,"Crater, craters",2003,"Giovanni; Italian adventurer, lover and author (1725-1798)."
Catherine,Eros,1.10,9.10,171.10,"Crater, craters",2003,"Tragic lover of Heathcliff in Emily Brontë's novel “;Wuthering Heights“; (England, 1847)."
Charlois Regio,Eros,0.00,-16.00,330.00,"Regio, regiones",2003,"Auguste Honore Pierre; French astronomer, independent discoverer of Eros (1864-1910)."
Cupid,Eros,1.80,8.10,230.20,"Crater, craters",2003,"Roman god of love, equivalent of Eros."
Don Juan,Eros,1.10,29.50,356.70,"Crater, craters",2003,"Lover, character of medieval European legend retold in Moliere's “;Don Juan“; (France, 1665)."
Don Quixote,Eros,0.90,-57.70,250.80,"Crater, craters",2003,"Knight-errant, imagined Dulcinea as his lady-love in Cervantes' “;Don Quixote“; (Spain, 1605)."
Dulcinea,Eros,1.40,-76.10,272.90,"Crater, craters",2003,"Imaginary lady-love of the knight Don Quixote in Cervantes' “;Don Quixote“; (Spain, 1605)."
Eurydice,Eros,2.20,13.50,170.00,"Crater, craters",2003,"In Greek mythology, wife of singer Orpheus, who fails to bring her from Hades."
Finsen Dorsum,Eros,0.00,-48.00,350.00,"Dorsum, dorsa",2003,"William S.; South African astronomer, detected Eros' elongated shape (1905-1979)."
Fujitsubo,Eros,1.70,-3.70,62.70,"Crater, craters",2003,"Lover of Genji in “;The Tale of Genji“; by Murasaki Sikibu, first modern novel (Japan, c.1000)."
Galatea,Eros,1.40,-10.20,183.10,"Crater, craters",2003,"Woman in Greek mythology, brought to life from statue by Pygmalion, legendary king of Cyprus."
Gamba,Eros,1.30,-20.60,54.10,"Crater, craters",2003,"Marina; companion of astronomer Galileo Galilei (Italy, 17th century)."
Genji,Eros,1.50,-19.50,88.60,"Crater, craters",2003,"Prince, lover of Fujitsubo in “;The Tale of Genji“; by Murasaki Sikibu (Japan, c.1000)."
Heathcliff,Eros,1.10,7.40,167.90,"Crater, craters",2003,"Tragic lover of Catherine in Emily Brontë's novel “;Wuthering Heights“; (England, 1847)."
Himeros,Eros,10.00,21.20,282.30,"Crater, craters",2003,Attendant of Eros; personification of the longing of love in Greek mythology.
Hinks Dorsum,Eros,0.00,42.00,318.00,"Dorsum, dorsa",2003,"Arthur Robert; English astronomer, first used Eros for solar parallax (1873-1945)."
Hios,Eros,1.30,-9.40,130.90,"Crater, craters",2003,Love child of Poseidon and Hiona in Greek mythology; also island (Chios) in the Aegean Sea.
Jahan,Eros,2.10,74.20,293.50,"Crater, craters",2003,"Shah; Mogul emperor, built Taj Mahal in Agra, India for wife Mumtaz Mahal (1592-1666)."
Kastytis,Eros,1.70,6.80,161.30,"Crater, craters",2003,"Lithuanian blacksmith, lover of sea goddess Jurate; taken by her to the sea floor."
Leander,Eros,1.40,25.60,210.30,"Crater, craters",2003,"Lover of Hero, swam to her across Hellespont every night and drowned; in despair, Hero drowned herself."
Leylie,Eros,1.90,-3.00,23.50,"Crater, craters",2003,"Majnoon's lover in “;Leylie and Majnoon“; poems by Jami and Navoi (Khorasan, 1480s)."
