Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Acacallis Linea,Europa,940.00,-5.27,225.56,"Linea, lineae","May 27, 2022",Granddaughter of Europa and sibling of Phaedra and Katreus.
Adonis Linea,Europa,1560.00,-61.00,122.60,"Linea, lineae",1979,"Greek; son of Phoenix, nephew of Europa."
Agave Linea,Europa,1440.00,12.80,273.10,"Linea, lineae",1997,Daughter of Harmonia and Cadmus.
Agenor Linea,Europa,1496.00,-43.80,213.50,"Linea, lineae",1979,Greek; Europa's father.
Áine,Europa,5.00,-43.00,177.50,"Crater, craters",2000,Celtic goddess of love and fertility.
Alphesiboea Linea,Europa,1438.00,-25.10,175.90,"Linea, lineae",1985,"Son of Phoenix, nephew of Europa."
Amaethon,Europa,1.70,13.82,177.47,"Crater, craters",2006,Celtic god of agriculture.
Amergin,Europa,17.00,-14.70,230.60,"Crater, craters",2000,Legendary Irish druid and poet.
Ancaeus Linea,Europa,145.00,57.82,182.46,"Linea, lineae","May 27, 2022","The nephew of Europa, in Greek mythology."
Androgeos Linea,Europa,723.00,11.70,279.30,"Linea, lineae",2000,Son of Minos in Greek mythology.
Angus,Europa,4.50,-12.60,75.10,"Crater, craters",2000,Beautiful Celtic god of love.
Annwn Regio,Europa,2300.00,20.00,320.00,"Regio, regiones","May 11, 2007","Traditional name of the Welsh Otherworld where sparkling wine is the normal beverage, and age and sickness are unknown."
Arachne Linea,Europa,954.00,-8.82,219.96,"Linea, lineae","May 27, 2022","Daughter of Idmon of Colophon in Greek mythology, who challenged the goddess Athena in a weaving contest."
Argadnel Regio,Europa,1900.00,-14.60,208.50,"Regio, regiones",2003,"In Celtic mythology, one of the islands of Earthly paradise seen during Bran's voyage."
Argiope Linea,Europa,689.00,-1.70,195.60,"Linea, lineae",1979,Greek; another name for Telephassa.
Arran Chaos,Europa,26.00,13.40,80.50,"Chaos, chaoses","Aug 23, 2007",Island where Manannán had a palace.
Asterius Linea,Europa,1943.00,14.90,270.80,"Linea, lineae",1979,Greek; Europa's husband after Zeus.
Astypalaea Linea,Europa,817.00,-75.80,212.10,"Linea, lineae",1997,Sister of Europa.
Autonoë Linea,Europa,760.00,18.20,165.10,"Linea, lineae",2000,Daughter of Harmonia and Cadmus in Greek mythology.
Avagddu,Europa,10.00,1.40,169.50,"Crater, craters",2000,"Celtic storm deity, ill-fated son of Tegid the Bald."
Balgatan Regio,Europa,2500.00,-50.00,30.00,"Regio, regiones","May 11, 2007","In Celtic mythology, pass to which the Tuatha Dé Dannan retreated before the battle with the Fir Bolgs."
Balor,Europa,4.80,-52.80,97.80,"Crater, craters",2000,Celtic god of the night whose evil eye caused the death of those on whom it glanced.
Beenalaght Fossa,Europa,882.00,1.20,82.08,"Fossa, fossae","May 28, 2019","Stone row in County Cork, Ireland."
Belenos Mensa,Europa,34.00,42.75,75.08,"Mensa, mensae","May 28, 2019","Celtic sun god, equated with Apollo in that character; found mainly in Aquileia (now at NE Italy)."
Belus Linea,Europa,2437.00,9.30,231.40,"Linea, lineae",1979,Greek; Agenor's twin brother.
Boeotia Macula,Europa,30.00,-53.60,166.80,"Macula, maculae",1997,Place where Cadmus led cow before it stopped at site of Thebes.
