Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Aix,Gaspra,0.60,47.90,160.30,"Crater, craters",1994,Spa in France.
Alupka,Gaspra,0.30,65.00,65.00,"Crater, craters",1994,"Spa in Crimea, Ukraine."
Baden-Baden,Gaspra,0.30,46.00,55.00,"Crater, craters",1994,Spa in Germany.
Badgastein,Gaspra,0.40,25.00,3.00,"Crater, craters",1994,Spa in Austria.
Bagnoles,Gaspra,0.40,55.00,122.00,"Crater, craters",1994,Spa in France.
Bath,Gaspra,0.90,13.40,9.70,"Crater, craters",1994,Spa in England.
Beppu,Gaspra,0.60,3.90,58.40,"Crater, craters",1994,"Spa on Kyushu, Japan."
Brookton,Gaspra,0.30,27.70,103.30,"Crater, craters",1994,"Spa in New York, USA."
Calistoga,Gaspra,1.20,30.00,2.00,"Crater, craters",1994,"Resort in California, USA."
Carlsbad,Gaspra,0.50,29.70,88.80,"Crater, craters",1994,Spa in Czech Republic.
Charax,Gaspra,0.90,8.60,0.00,"Crater, craters",1994,"Roman fortress in Gaspra, Crimea, Ukraine."
Dunne Regio,Gaspra,0.00,15.00,15.00,"Regio, regiones",1994,James; Galileo Project planner.
Helwan,Gaspra,0.40,22.40,118.90,"Crater, craters",1994,Spa in Egypt.
Ixtapan,Gaspra,0.70,11.90,86.90,"Crater, craters",1994,Spa in Mexico.
Katsiveli,Gaspra,0.30,55.00,65.00,"Crater, craters",1994,"Spa in Crimea, Ukraine."
Krynica,Gaspra,0.40,49.00,35.00,"Crater, craters",1994,Health resort in Poland.
Lisdoonvarna,Gaspra,0.40,16.50,358.10,"Crater, craters",1994,Spa in Ireland.
Loutraki,Gaspra,0.40,42.00,140.00,"Crater, craters",1994,Spa in Greece.
Mandal,Gaspra,0.10,23.50,46.50,"Crater, craters",1994,Spa in Norway.
Manikaran,Gaspra,0.50,62.00,155.00,"Crater, craters",1994,Spa in India.
Marienbad,Gaspra,0.60,35.40,81.80,"Crater, craters",1994,Spa in Czech Republic.
Miskhor,Gaspra,0.50,15.00,65.90,"Crater, craters",1994,"Spa in Crimea, Ukraine."
Moree,Gaspra,0.70,15.10,164.40,"Crater, craters",1994,Spa in Australia.
Neujmin Regio,Gaspra,0.00,2.00,80.00,"Regio, regiones",1994,Grigorij N.; Russian astronomer; discoverer of Gaspra (1885-1946).
Ramlösa,Gaspra,0.70,15.00,4.90,"Crater, craters",1994,Spa in Sweden.
Rio Hondo,Gaspra,0.60,31.70,20.70,"Crater, craters",1994,Spa in Argentina.
Rotorua,Gaspra,0.50,18.80,30.70,"Crater, craters",1994,Spa in New Zealand.
Saratoga,Gaspra,2.80,50.00,270.00,"Crater, craters",1994,"Spa in New York, USA."
Spa,Gaspra,1.60,51.50,152.00,"Crater, craters",1994,Health resort in Belgium.
Tang-Shan,Gaspra,2.10,59.00,256.00,"Crater, craters",1994,Spa in China.
Yalova,Gaspra,0.40,29.00,10.00,"Crater, craters",1994,Health resort in Turkey.
Yalta,Gaspra,1.40,57.60,261.30,"Crater, craters",1994,"Spa in Crimea, Ukraine."
Yeates Regio,Gaspra,0.00,65.00,75.00,"Regio, regiones",1994,Clayne; Galileo Project manager.
Zohar,Gaspra,0.40,23.00,118.00,"Crater, craters",1994,Spa in Israel.
