Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Abisme,Iapetus,767.74,37.53,92.92,"Crater, craters","Aug 16, 2013","A Saracen lord, killed by Archbishop Turpin."
Acelin,Iapetus,38.00,42.70,154.90,"Crater, craters","Aug 05, 2008","Aceline of Gascony, one of the Twelve Peers, the council of King Charles."
Adelroth,Iapetus,57.00,6.60,183.60,"Crater, craters","Aug 05, 2008","Marsilion’s nephew, killed by Roland in the first battle."
Almeric,Iapetus,43.00,53.40,276.00,"Crater, craters",1982,"One of 12 peers, killed by Marsilion."
Anseïs,Iapetus,48.00,-40.70,290.80,"Crater, craters","Aug 05, 2008",One of the Twelve Peers; kills Turgis; killed by Malquiant.
Astor,Iapetus,122.00,14.90,321.20,"Crater, craters","Aug 05, 2008",A French baron; ruled over Valence on Rhone.
Baligant,Iapetus,66.00,16.40,224.90,"Crater, craters",1982,Emir of Babylon; Marsilion enlisted his help against Charlemagne.
Basan,Iapetus,76.00,33.30,194.70,"Crater, craters",1982,French baron; Murdered while serving as Ambassador of Marsilon.
Basbrun,Iapetus,80.00,-52.00,111.80,"Crater, craters","Aug 05, 2008",Charlemagne’s officer who hung Ganelon’s 30 relatives.
Basile,Iapetus,6.00,-0.70,187.90,"Crater, craters","Aug 05, 2008",French baron; murdered near Haltile with his brother Basan while serving as ambassador to Marsilion.
Berenger,Iapetus,84.00,62.10,219.70,"Crater, craters",1982,One of twelve peers; killed Estramarin; killed by Grandoyne.
Besgun,Iapetus,56.00,76.00,309.80,"Crater, craters",1982,Chief cook for Charlemagne's army; he guarded Ganelon after Ganelon's treachery was discovered.
Bevon,Iapetus,48.00,70.70,93.00,"Crater, craters","Aug 05, 2008",A French baron; killed by Marsilion.
Bramimond,Iapetus,200.00,38.00,178.00,"Crater, craters","Aug 05, 2008","Queen of Saragossa, wife of Marsilion."
Carcassone Montes,Iapetus,740.00,0.00,216.70,"Mons, montes","Aug 05, 2008",Town in southern France sacked by Roland.
Cassini Regio,Iapetus,0.00,-28.10,92.60,"Regio, regiones",1982,"Italian-French astronomer who discovered Iapetus in 1671, Rhea in 1672, Tethys and Dione in 1684 (1625-1712)."
Charlemagne,Iapetus,95.00,55.00,258.80,"Crater, craters",1982,Emperor of France and Germanic nations; his forces fought the Saracens in Spain.
Clarin,Iapetus,84.00,18.30,71.60,"Crater, craters","Aug 05, 2008",Saracen lord and emissary to Charles.
Climborin,Iapetus,49.00,30.40,116.90,"Crater, craters","Aug 05, 2008",Saracen lord who gave his helmet to Ganelon; killed by Oliver.
Cordova Mons,Iapetus,85.00,0.00,206.20,"Mons, montes","Aug 05, 2008",Town in Spain taken by Charlemagne.
Corsablis,Iapetus,73.00,0.90,114.20,"Crater, craters","Aug 05, 2008",Saracen lord; volunteered to fight at Roncevaux Pass; killed Archbishop Turpin in the first battle.
Dapamort,Iapetus,49.00,36.60,84.90,"Crater, craters","Aug 05, 2008",A Saracen king from Lycia; leader in Baligant’s army.
Engelier,Iapetus,504.00,-40.50,264.70,"Crater, craters","Aug 05, 2008","One of Twelve Peers, the Gascon of Bordeaux; the most valiant knight, killed by Climborin in the first battle."
Escremiz,Iapetus,0.06,1.60,173.50,"Crater, craters","Aug 05, 2008",Escremiz of Valterne; volunteered to fight at Roncevaux Pass; killed by Engelier in the first battle.
Eudropin,Iapetus,42.00,0.90,220.70,"Crater, craters","Aug 05, 2008",Saracen lord and emissary to Charles.
Falsaron,Iapetus,424.00,33.80,82.60,"Crater, craters","Aug 05, 2008",Brother of King Marsilion; killed by Oliver.
Ganelon,Iapetus,230.00,-44.30,19.80,"Crater, craters","Aug 05, 2008",French count; stepfather of Roland; brother-in-law of Roland’s uncle Charlemagne; betrays Roland and the French rear guard to Marsilion.
Garlon,Iapetus,47.00,-3.20,240.50,"Crater, craters","Aug 05, 2008",Saracen lord and emissary to Charles.
Gayne Mons,Iapetus,65.00,0.00,176.00,"Mons, montes","Aug 05, 2008",Spanish town whose walls Roland had shattered.
