Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Afon,Ida,0.80,-6.50,0.00,"Crater, craters",1994,Cave in Russia.
Atea,Ida,2.00,-5.70,18.90,"Crater, craters",1997,Cave in the Muller Range of Papua New Guinea.
Azzurra,Ida,9.60,30.50,217.20,"Crater, craters",1997,Flooded cave (known as the Blue Grotto) on the island of Capri in southern Italy.
Bilemot,Ida,1.80,-27.80,29.20,"Crater, craters",1997,Lava tube in the Republic of Korea.
Castellana,Ida,5.20,-13.40,335.20,"Crater, craters",1997,"Cave in Puglia region, Italy."
Choukoutien,Ida,1.10,12.80,23.60,"Crater, craters",1997,Site where Peking Man was discovered.
Fingal,Ida,1.50,-13.20,39.90,"Crater, craters",1997,Cave in the Hebrides.
Kartchner,Ida,0.90,-7.00,179.00,"Crater, craters",1997,Cave in Arizona.
Kazumura,Ida,2.10,-32.00,41.10,"Crater, craters",1997,Lava tube in Hawaii.
Lascaux,Ida,11.80,0.80,161.20,"Crater, craters",1997,Cave in France noted for its prehistoric paintings.
Lechuguilla,Ida,1.50,7.90,357.10,"Crater, craters",1997,"Cave in Carlsbad National Park, New Mexico."
Mammoth,Ida,10.20,-18.30,180.30,"Crater, craters",1997,Longest limestone cavern known on Earth.
Manjang,Ida,1.00,-28.30,90.50,"Crater, craters",1997,Lava tube in the Republic of Korea.
Orgnac,Ida,10.60,-6.30,202.70,"Crater, craters",1997,Cave in France.
Padirac,Ida,1.90,-4.30,5.20,"Crater, craters",1997,Cave with underground river in France.
Palisa Regio,Ida,23.00,-23.00,34.00,"Regio, regiones",1997,"Johann; Austrian astronomer, discovered Ida (1848-1925)."
Peacock,Ida,0.20,-2.00,52.00,"Crater, craters",1997,"Cave in Florida, USA."
Pola Regio,Ida,8.00,-11.00,184.00,"Regio, regiones",1997,Place where Palisa (discoverer of Ida) observed.
Postojna,Ida,6.00,-42.90,359.90,"Crater, craters",1997,Large cave in Slovenia.
Sterkfontein,Ida,4.70,-4.10,54.10,"Crater, craters",1997,Cave in South Africa.
Stiffe,Ida,1.50,-27.90,126.50,"Crater, craters",1997,"Karst cave in Sulmona, Italy."
Townsend Dorsum,Ida,40.00,25.00,30.00,"Dorsum, dorsa",1997,Tim E.; Galileo imaging team member (d. 1989).
Undara,Ida,8.50,2.00,113.80,"Crater, craters",1997,"Lava tube from Undara Volcano, North Queensland, Australia."
Vienna Regio,Ida,13.00,8.00,2.00,"Regio, regiones",1997,Where Palisa discovered Ida.
Viento,Ida,1.60,12.20,343.90,"Crater, craters",1997,Lava tube in Spain.
