Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Ababinili Patera,Io,103.63,12.78,142.17,"Patera, paterae",2003,Chickasaw fire and sun god.
Acala Fluctus,Io,415.32,9.03,334.60,"Fluctus, fluctūs",1997,Japanese fire god.
Agni Patera,Io,19.70,-40.78,333.09,"Patera, paterae",1985,Hindu god of fire.
Ah Peku Patera,Io,84.91,10.36,106.98,"Patera, paterae",2006,Mayan thunder god.
Aidne Patera,Io,29.80,-1.76,177.11,"Patera, paterae",1997,Irish creator of fire.
Altjirra Patera,Io,60.27,-34.40,108.82,"Patera, paterae",1997,Australian sky god whose voice is thunder.
Amaterasu Patera,Io,95.27,38.21,306.55,"Patera, paterae",1979,Japanese sun goddess.
Amatsumara Patera,Io,39.00,44.17,74.05,"Patera, paterae","Jan 29, 2025",Shinto (Japanese) smith deity.
Amirani,Io,415.23,25.02,115.18,Eruptive center,1979,Georgian god of fire.
Angpetu Patera,Io,18.50,-21.18,8.85,"Patera, paterae",1985,Dakota name meaning the sun.
Antenora Mons,Io,122.00,84.90,333.65,"Mons, montes","Jan 29, 2025","Name for the second ring of Cocytus, the frozen lake that is the ninth circle of Hell in Dante’s “The Inferno.”"
Apis Tholus,Io,199.16,-11.92,347.70,"Tholus, tholi",1979,"Greek; name for Epaphus, son of Io and Zeus."
Aramazd Patera,Io,69.33,-73.57,336.61,"Patera, paterae",1985,Armenian thunder god.
Argos Planum,Io,170.70,-47.90,317.81,"Planum, plana",1985,Where Io was captured by Zeus.
Arinna Fluctus,Io,121.66,31.63,149.19,"Fluctus, fluctūs",2000,Hittite sun goddess.
Arusha Patera,Io,69.51,-38.99,101.49,"Patera, paterae",1997,Hindu god of the rising sun.
Asha Patera,Io,117.97,-8.84,225.58,"Patera, paterae",1979,Persian spirit of fire.
Asis Patera,Io,98.00,44.33,91.14,"Patera, paterae","Mar 10, 2023","Nandi (Kenya) supreme god, personified by the Sun."
Ātar Patera,Io,80.01,30.87,278.65,"Patera, paterae",1979,Iranian personification of fire.
Aten Patera,Io,48.84,-48.45,309.97,"Patera, paterae",1979,Egyptian sun god.
Babbar Patera,Io,110.34,-39.81,271.59,"Patera, paterae",1979,Sumerian; sun god.
Bactria Regio,Io,663.10,-48.25,123.53,"Regio, regiones",1979,Io passed through this area of ancient Iran in her wanderings.
Balder Patera,Io,36.95,11.46,156.16,"Patera, paterae",2003,Norse god of light.
Belenus Patera,Io,22.13,2.93,157.73,"Patera, paterae",2000,Celtic fire and sun god.
Bochica Patera,Io,54.14,-61.50,18.88,"Patera, paterae",1979,Chibcha sky god.
Boösaule Montes,Io,540.00,-3.75,269.11,"Mons, montes",1985,Cave where Io bore Epaphus.
Bosphorus Regio,Io,1607.21,-2.30,120.57,"Regio, regiones",1997,“;Ford of the Cow“;; Io wandered through here while trying to escape from the gadfly.
