Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Aarna,Mars,43.00,14.70,338.43,"Crater, craters","Dec 16, 2022","Village in Rajasthan, India."
Abalos Colles,Mars,235.83,76.83,288.35,"Collis, colles",2003,"Named for classical albedo feature at 72N, 70W."
Abalos Mensa,Mars,129.18,81.17,284.40,"Mensa, mensae",2006,Classical albedo feature name.
Abalos Scopuli,Mars,109.16,80.72,283.44,"Scopulus, scopuli",2006,Classical albedo feature name.
Abalos Undae,Mars,442.74,78.52,272.50,"Unda, undae",1988,"Classical albedo feature at 72N, 70W."
Aban,Mars,4.28,15.91,111.10,"Crater, craters",1988,Town in Russia.
Abu,Mars,17.00,15.50,337.22,"Crater, craters","Dec 16, 2022","Village in Rajasthan, India."
Abus Vallis,Mars,60.99,-5.49,212.80,"Vallis, valles",1985,Classical name for Humber River in England.
Achar,Mars,5.36,45.43,123.16,"Crater, craters",1979,Town in Uruguay.
Acheron Catena,Mars,421.77,37.47,259.20,"Catena, catenae",1979,"Named for classical albedo feature at 35N, 140W."
Acheron Fossae,Mars,703.11,38.27,224.98,"Fossa, fossae",1979,"From classical albedo feature at 35N, 140W."
Acidalia Colles,Mars,356.30,50.34,336.91,"Collis, colles",2000,From classical albedo feature name.
Acidalia Mensa,Mars,226.86,46.69,334.66,"Mensa, mensae",2000,From classical albedo feature name.
Acidalia Planitia,Mars,3505.00,49.76,339.26,"Planitia, planitiae",1973,"From classical albedo feature at 44N, 21W."
Ada,Mars,2.09,-3.06,356.78,"Crater, craters","Sep 14, 2006","Town in Oklahoma, USA."
Adamas Labyrinthus,Mars,853.00,35.70,105.12,"Labyrinthus, labyrinthi",1982,Classical albedo feature name; “;A River of Diamonds“;; today's River Sarbarnarekha in India.
Adams,Mars,90.22,30.91,163.10,"Crater, craters",1973,Walter S.; American astronomer (1876-1956).
Aeolis,Mars,0.00,-4.94,145.00,Albedo Feature,1958,Floating island where winds were kept in a cave.
Aeolis Chaos,Mars,201.00,-7.13,150.60,"Chaos, chaoses","Jun 13, 2018",Classical albedo feature name.
Aeolis Dorsa,Mars,459.17,-5.05,152.63,"Dorsum, dorsa","Jul 27, 2012",Classical albedo feature name.
Aeolis Mensae,Mars,785.09,-3.25,140.63,"Mensa, mensae",1976,Classical albedo feature name.
Aeolis Mons,Mars,88.99,-5.08,137.85,"Mons, montes","May 16, 2012",Classical albedo feature name.
Aeolis Palus,Mars,111.63,-4.47,137.42,"Palus, paludes","May 16, 2012",Classical albedo feature name.
Aeolis Planum,Mars,852.81,-1.14,144.76,"Planum, plana",2006,Classical albedo feature name.
Aeolis Serpens,Mars,538.55,-1.38,149.57,"Serpens, serpentes","Aug 27, 2012",Classical albedo feature name.
Aeria,Mars,0.00,9.88,50.00,Albedo Feature,1958,Greek name for Egypt; “;far land of mist“;.
Aesacus Dorsum,Mars,276.69,36.82,153.15,"Dorsum, dorsa",1985,"From albedo feature at 45N, 205W."
Aetheria,Mars,0.00,39.67,130.00,Albedo Feature,1958,Upper world; land of living.
Aethiopis,Mars,0.00,9.88,130.00,Albedo Feature,1958,Countries of the Ethiopians on southern edge of the Earth.
Aganippe Fossa,Mars,537.16,-8.49,234.00,"Fossa, fossae",1976,Classical albedo feature name.
Agassiz,Mars,108.77,-69.88,271.11,"Crater, craters",1973,Jean L.; American naturalist (1807-1873).
Airy,Mars,43.05,-5.14,0.05,"Crater, craters",1973,George B.; British astronomer (1801-1892).
Airy-0,Mars,0.79,-5.07,0.00,"Crater, craters",2003,Small crater within crater Airy that defines zero degrees longitude on Mars.
Ajon,Mars,8.08,16.49,103.14,"Crater, craters",1988,Town in Russia.
Aki,Mars,7.87,-35.46,299.76,"Crater, craters",1979,Town in Japan.
Aktaj,Mars,5.01,20.41,313.51,"Crater, craters",1988,Town in Russia.
Alamos,Mars,6.44,23.48,322.88,"Crater, craters","Sep 14, 2006",Town in Mexico.
Alba Catena,Mars,144.86,35.04,245.42,"Catena, catenae",1985,Classical albedo name.
Alba Fossae,Mars,2072.02,49.39,253.18,"Fossa, fossae",1973,Classical albedo name.
Alba Mons,Mars,548.02,41.08,249.29,"Mons, montes","Sep 19, 2007",Classical albedo feature name.
Albany,Mars,2.15,22.96,310.98,"Crater, craters",1979,American colonial town (New York).
