Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Abedin,Mercury,116.23,61.73,10.66,"Crater, craters","Jul 09, 2009",Zainul; Bangladeshi painter and printmaker (1914-1976).
Abeeso Facula,Mercury,32.00,21.70,214.60,"Facula, faculae","Apr 02, 2018",Somali word for snake.
Abu Nuwas,Mercury,117.00,17.63,21.19,"Crater, craters",1976,Arab poet (c. 1756-1810).
Acadia Rupes,Mercury,191.00,8.17,329.00,"Rupes, rupēs","Nov 07, 2022","Canadian; hydrographic survey and oceanographic research vessel (1913- 1969), used to chart the coastline of Eastern Canada, performed tidal and depth charting."
Adventure Rupes,Mercury,340.00,-65.48,65.30,"Rupes, rupēs",1976,"English; one of Cook's ships on second voyage to the Pacific, 1772-75."
Aegaeo Rupes,Mercury,222.00,-9.19,15.28,"Rupes, rupēs","Dec 02, 2022","Greek; research vessel that performs geophysical, geological, and hydrographic surveys in the Mediterranean Sea since 1985."
Africanus Horton,Mercury,140.00,-50.96,41.19,"Crater, craters",1976,"(James Beale); Sierra Leonean author, folklorist (1835-1883)."
Agwo Facula,Mercury,50.00,22.40,213.70,"Facula, faculae","Apr 02, 2018",Igbo (Southeastern Nigeria) word for snake.
Ahas Facula,Mercury,45.00,-21.37,89.40,"Facula, faculae","May 09, 2023",Filipino/Tagalog word for snake.
Ahmad Baba,Mercury,126.00,58.33,128.35,"Crater, craters",1979,"Abu-a;-Abbas Aj,Ad Obm Aj,Ad a;-Takruri Al-Massufi; Sudanese writer (1556-1627)."
Ailey,Mercury,23.00,45.58,182.08,"Crater, craters","Apr 24, 2012",Alvin; American dancer and choreographer (1931-1989).
Akademik Rupes,Mercury,265.00,8.14,161.66,"Rupes, rupēs","Dec 02, 2022","Bulgarian; a research vessel for geological, biological, chemical, physical, and ecological investigations in the Black Sea since 1979."
Aksakov,Mercury,174.00,34.71,78.74,"Crater, craters","Apr 24, 2012",Sergey; Russian author (1791-1859).
Akutagawa,Mercury,106.00,48.25,141.09,"Crater, craters","Sep 25, 2015",Ryunosuke; Japanese writer (1892-1927).
Al-Akhtal,Mercury,94.29,59.38,99.71,"Crater, craters",1985,Arab poet (c. 640-710).
Alencar,Mercury,106.00,-63.64,103.78,"Crater, craters",1979,Jose de; Brazilian novelist (1829-1877).
Al-Hamadhani,Mercury,164.00,39.19,91.76,"Crater, craters",1979,Arab writer (d. 1007).
Al-Jāhiz,Mercury,83.00,1.36,21.76,"Crater, craters",1976,Arab author (d. 869).
Alpha Crucis Rupēs,Mercury,511.30,-12.48,228.31,"Rupes, rupēs","Jan 12, 2021","Brazilian; an oceanographic research vessel investigating the role of the South Atlantic in global climate change, as well as studying marine biodiversity."
Altair Rupes,Mercury,895.58,-70.48,186.49,"Rupes, rupēs","Apr 29, 2021",Mexican; oceanographic vessel used for academic and federal research in the Pacific (2000s).
Alver,Mercury,151.49,-66.97,282.75,"Crater, craters","Mar 15, 2013",Betti; Estonian poet (1906-1989).
Alvin Rupes,Mercury,188.00,8.30,208.72,"Rupes, rupēs","Jun 03, 2013","American; U.S.Navy's first deep submergence research vessel commissioned in 1964, designed specifically for oceanographic research."
Amaral,Mercury,105.00,-26.49,242.18,"Crater, craters","Nov 20, 2008",Tarsila do; Brazilian painter (1886-1973).
Amaru Facula,Mercury,45.00,-49.80,349.50,"Facula, faculae","May 01, 2018",Quechua word for snake.
Amru Al-Qays,Mercury,47.00,12.43,176.11,"Crater, craters",1976,Arab poet (pre-Islamic).
Andal,Mercury,109.00,-47.52,37.71,"Crater, craters",1976,10th century Tamil (South Indian) writer.
Aneirin,Mercury,467.00,-27.47,2.68,"Crater, craters","Jun 23, 2014",Welsh poet (fl. 6th century).
Angelou,Mercury,18.00,80.32,66.71,"Crater, craters","Sep 11, 2019","Maya, American author and poet (1928 – 2014)."
Angkor Vallis,Mercury,94.97,57.28,245.96,"Vallis, valles","Apr 30, 2013",Ancient city in Cambodia.
Anguissola,Mercury,35.41,80.69,217.35,"Crater, craters","Aug 04, 2017",Sofonisba; Italian painter (1532-1625)
Antares Rupes,Mercury,530.00,18.06,229.42,"Rupes, rupēs","Nov 07, 2022","Mexican; an oceanographic research vessel for hydrography, meteorology, and oceanography studies (since 1968)."
Antoniadi Dorsum,Mercury,359.40,27.20,29.65,"Dorsum, dorsa",1976,"Eugene M.; Greco-French astronomer, defined classical nomenclature for albedo features of Mars (1870-1944)."
Anyte,Mercury,20.92,79.50,210.67,"Crater, craters","Aug 04, 2017","Anyte of Tegea, Greek poet (early 3rd centrury BC)."
Apārangi Planitia,Mercury,1077.00,6.70,289.38,"Planitia, planitiae","Mar 14, 2017",Māori word for the planet Mercury.
Apollodorus,Mercury,41.50,30.54,196.72,"Crater, craters","Apr 08, 2008",Apollodorus of Damascus; Greek architect (2nd century AD).
Apollonia,Mercury,0.00,45.00,315.00,Albedo Feature,1976,"Albedo name for H-5, Hokusai region."
Arecibo Catena,Mercury,139.79,-27.58,28.29,"Catena, catenae","Mar 26, 2013",Radio telescope in Puerto Rico.
Aristoxenus,Mercury,52.14,83.93,17.46,"Crater, craters",1979,Greek philosopher and musical theorist (fl. 4th century B.C.).
Arquipelago Rupēs,Mercury,500.00,7.36,229.31,"Rupes, rupēs","Nov 07, 2022","Origin: Portuguese; a coastal research vessel which has been used in research programs in the Northeast Atlantic (Azores, Madeira) up to 30°N (2010s)."
Asawa,Mercury,130.00,27.26,315.28,"Crater, craters","Nov 14, 2024",Ruth Aiko; Japanese-American sculptor (1926-2013).
Astrea Rupes,Mercury,178.00,-20.31,244.15,"Rupes, rupēs","Dec 02, 2022","Italian; multi-purpose research vessel used in particular for investigations in fisheries, aquaculture, oceanography within the Mediterranean Sea since 2003."
Astrolabe Rupes,Mercury,251.00,-42.55,70.90,"Rupes, rupēs",1976,"French; d'Urville's ship to explore Antarctica, 1838-40."
Aśvaghosa,Mercury,88.00,10.61,21.49,"Crater, craters",1976,Indian philosopher and poet (fl. A.D. 80-150).
Atget,Mercury,100.00,25.57,193.62,"Crater, craters","Apr 08, 2008",Eugène; French photographer (1857-1927).
Aurora,Mercury,0.00,45.00,90.00,Albedo Feature,1976,"Albedo name for H-2, Victoria region."
Australia,Mercury,0.00,-72.50,360.00,Albedo Feature,1976,"Albedo name for H-15, Bach region."
Bach,Mercury,214.28,-69.86,103.01,"Crater, craters",1976,J. S.; German composer (1685-1750).
Bagryana,Mercury,101.00,-3.89,283.73,"Crater, craters","Sep 25, 2015",Elisaveta; Bulgarian poet (1893-1991).
Balagtas,Mercury,104.00,-22.56,13.90,"Crater, craters",1976,F.; Philippino writer (1788-1862).
Balanchine,Mercury,38.00,38.47,184.48,"Crater, craters","Apr 24, 2012",George (Giorgi Balanchivadze); American choreographer of Georgian-Russian origin (1904-1983).
Baltica Rupes,Mercury,230.00,-4.48,303.48,"Rupes, rupēs","Jan 11, 2023","Polish; a research vessel that performs oceanographic, biological and fishing research in the Baltic Sea since 1993."
Balzac,Mercury,67.00,10.62,144.67,"Crater, craters",1976,Honore de; French novelist (1799-1850).
Baranauskas,Mercury,36.00,50.73,39.76,"Crater, craters","Sep 25, 2015",Antanas; Lithuanian poet (1835-1902).
Barma,Mercury,123.00,-40.93,163.49,"Crater, craters",1982,Yakovlev; 16th Century Russian architect.
Barney,Mercury,29.00,-11.69,300.29,"Crater, craters","Dec 16, 2013","Natalie Clifford; American-French playwright, poet, and novelist (1876-1972)."
Bartók,Mercury,118.00,-29.22,135.06,"Crater, craters",1979,Bela; Hungarian composer (1881-1945).
Bashō,Mercury,75.00,-32.39,170.45,"Crater, craters",1979,Matsuo; Japanese poet (1644-1694).
