Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Alonso,Miranda,25.00,-44.00,352.60,"Crater, craters",1988,King of Naples in “;The Tempest.“;
Arden Corona,Miranda,318.00,-29.10,73.70,"Corona, coronae",1988,"Forest, location of “;As You Like It.“;"
Argier Rupes,Miranda,141.00,-43.20,322.80,"Rupes, rupēs",1988,Location of earlier action in “;The Tempest.“;
Dunsinane Regio,Miranda,244.00,-31.50,11.90,"Regio, regiones",1988,Location of castle where Macbeth was defeated.
Elsinore Corona,Miranda,323.00,-24.80,257.10,"Corona, coronae",1988,Location of Hamlet's castle.
Ephesus Regio,Miranda,225.00,-15.00,250.00,"Regio, regiones",1997,Home of twins and setting for “;The Comedy of Errors.“;
Ferdinand,Miranda,17.00,-34.80,202.10,"Crater, craters",1988,Son of King of Naples; loves Miranda in “;The Tempest.“;
Francisco,Miranda,14.00,-73.20,236.00,"Crater, craters",1988,A lord of Naples in “;The Tempest.“;
Gonzalo,Miranda,11.00,-11.40,77.00,"Crater, craters",1988,Honest old counselor of Naples in “;The Tempest.“;
Inverness Corona,Miranda,234.00,-66.90,325.70,"Corona, coronae",1988,Location of Macbeth's castle.
Mantua Regio,Miranda,399.00,-39.60,180.20,"Regio, regiones",1988,Location of part of “;Two Gentlemen From Verona.“;
Naples Sulcus,Miranda,260.00,-32.00,260.00,"Sulcus, sulci",1997,Destination in “;The Tempest.“;
Prospero,Miranda,21.00,-32.90,329.90,"Crater, craters",1988,Rightful Duke of Mila in “;The Tempest.“;
Sicilia Regio,Miranda,174.00,-30.00,317.20,"Regio, regiones",1988,Location of “;Winter's Tale.“;
Stephano,Miranda,16.00,-41.10,234.10,"Crater, craters",1988,A drunken butler in “;The Tempest.“;
Syracusa Sulcus,Miranda,40.00,-15.00,293.00,"Sulcus, sulci",1997,Home of twins in the “;Comedy of Errors.“;
Trinculo,Miranda,11.00,-63.70,163.40,"Crater, craters",1988,A jester in “;The Tempest.“;
Verona Rupes,Miranda,116.00,-18.30,347.80,"Rupes, rupēs",1988,Where Romeo and Juliet lived.
