Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Antony,Oberon,47.00,-27.50,65.40,"Crater, craters",1988,Shakespearean hero in “;Anthony and Cleopatra.“;
Caesar,Oberon,76.00,-26.60,61.10,"Crater, craters",1988,Shakespearean hero in “;Julius Caesar.“;
Coriolanus,Oberon,120.00,-11.40,345.20,"Crater, craters",1988,Shakespearean hero.
Falstaff,Oberon,124.00,-22.10,19.00,"Crater, craters",1988,Shakespearean character in “;Merry Wives of Windsor.“;
Hamlet,Oberon,206.00,-46.10,44.40,"Crater, craters",1988,Shakespearean hero.
Lear,Oberon,126.00,-5.40,31.50,"Crater, craters",1988,Shakespearean hero in “;King Lear.“;
Macbeth,Oberon,203.00,-58.40,112.50,"Crater, craters",1988,Shakespearean hero.
Mommur Chasma,Oberon,537.00,-16.30,323.50,"Chasma, chasmata",1988,"Spirit place, forest home of Oberon in “;Midsummer Night's Dream.“;"
Othello,Oberon,114.00,-66.00,42.90,"Crater, craters",1988,Shakespearean character.
Romeo,Oberon,159.00,-28.70,89.40,"Crater, craters",1988,Shakespearean character in “;Romeo and Juliet.“;
