Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Clustril,Phobos,3.40,60.00,91.00,"Crater, craters","Nov 29, 2006",Character in Lilliput who informed Flimnap that his wife had visited Gulliver privately in Jonathan Swift's novel “;Gulliver's Travels.“;
D'Arrest,Phobos,2.10,-39.00,179.00,"Crater, craters",1973,Heinrich L.; German/Danish astronomer (1822-1875).
Drunlo,Phobos,4.20,36.50,92.00,"Crater, craters","Nov 29, 2006",Character in Lilliput who informed Flimnap that his wife had visited Gulliver privately in Jonathan Swift's novel “;Gulliver's Travels.“;
Flimnap,Phobos,1.50,60.00,350.00,"Crater, craters","Nov 29, 2006",Treasurer of Lilliput in Jonathan Swift's novel “;Gulliver's Travels.“;
Grildrig,Phobos,2.60,81.00,195.00,"Crater, craters","Nov 29, 2006",Name given to Gulliver by the farmer's daughter in the giants’ country Brobdingnag in Jonathan Swift's novel “;Gulliver's Travels.“;
Gulliver,Phobos,5.50,62.00,163.00,"Crater, craters","Nov 29, 2006","Lemuel Gulliver, surgeon, captain, and voyager in Jonathan Swift's novel “;Gulliver's Travels.“;"
Hall,Phobos,5.40,-80.00,210.00,"Crater, craters",1973,"Asaph; American astronomer, discoverer of Phobos and Deimos (1829-1907)."
Kepler Dorsum,Phobos,15.00,-45.00,356.00,"Dorsum, dorsa",1987,Johannes; German astronomer (1571-1630).
Lagado Planitia,Phobos,4.00,19.00,231.00,"Planitia, planitiae","Jul 28, 2011","Fictional city in Jonathan Swift's Gulliver's Travels, ruled by a tyrannical king from the flying island Laputa."
Laputa Regio,Phobos,14.00,0.00,265.00,"Regio, regiones","Jul 28, 2011",Fictional flying island in Jonathan Swift's Gulliver's Travels.
Limtoc,Phobos,2.00,-11.00,54.00,"Crater, craters","Nov 29, 2006",General in Lilliput who prepared articles of impeachment against Gulliver in Jonathan Swift's novel “;Gulliver's Travels.“;
Öpik,Phobos,2.00,-7.00,297.00,"Crater, craters","Jul 28, 2011","Ernst J., Estonian astronomer (1893-1985)."
Reldresal,Phobos,2.90,41.00,39.00,"Crater, craters","Nov 29, 2006",Secretary for Private Affairs in Lilliput; Gulliver's friend in Jonathan Swift's novel “;Gulliver's Travels.“;
Roche,Phobos,2.30,53.00,183.00,"Crater, craters",1973,Edouard; French astronomer (1820-1883).
Sharpless,Phobos,1.80,-27.50,154.00,"Crater, craters",1973,Bevan P.; American astronomer (1904-1950).
Shklovsky,Phobos,2.00,24.00,248.00,"Crater, craters","Jul 28, 2011","Iosif S., Soviet astronomer (1916-1985)."
Skyresh,Phobos,1.50,52.50,320.00,"Crater, craters","Nov 29, 2006","Skyresh Bolgolam, High Admiral of the Lilliput council who opposed Gulliver’s plea for freedom and accused him of being a traitor in Jonathan Swift's novel “;Gulliver's Travels.“;"
Stickney,Phobos,9.00,1.00,49.00,"Crater, craters",1973,Angeline; wife of American astronomer A. Hall (1830-1892).
Todd,Phobos,2.60,-9.00,153.00,"Crater, craters",1973,David; American astronomer (1855-1939).
Wendell,Phobos,1.70,-1.00,132.00,"Crater, craters",1973,Oliver C.; American astronomer (1845-1912).
