Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Adlivun Cavus,Pluto,21.40,-15.40,188.86,"Cavus, cavi","Aug 08, 2017",Underworld in Inuit myths.
Alcyonia Lacus,Pluto,30.00,36.44,151.95,"Lacus, lacūs","May 30, 2019","A bottomless lake, one of the entrances to the underworld in Greek mythology."
Al-Idrisi Montes,Pluto,383.00,33.99,156.01,"Mons, montes","Aug 08, 2017",Ash-Sharīf al-Idrīsī; Arabian mapmaker and geographer (1100–1165/66).
Baret Montes,Pluto,170.39,14.60,157.80,"Mons, montes","Apr 26, 2018",Jeanne Baret (Baré); first woman to have completed circumnavigation voyage of the globe (1740-1807).
Beatrice Fossa,Pluto,382.00,0.19,129.26,"Fossa, fossae","Feb 03, 2021","In The Inferno by Dante, Beatrice descends into hell to find Virgil and ask him to guide Dante. She later guides Dante through Paradise in Paradiso."
Belton Regio,Pluto,3255.00,-9.21,91.42,"Regio, regiones","Sep 22, 2023","Michael J. S.; British astronomer who in 2002 chaired the first Planetary Science Decadal Survey, which established NASA’s New Frontiers Program, including the New Horizons mission to Pluto and the Kuiper Belt (1934-2018)."
Bower,Pluto,72.00,45.36,233.39,"Crater, craters","Sep 11, 2024","Ernest Clare; American astronomer who calculated one of the first independent orbits of Pluto, shortly after that planet’s 1930 discovery by Lowell Observatory’s Clyde Tombaugh (1890-1964)."
Burney,Pluto,296.00,45.68,133.79,"Crater, craters","Aug 08, 2017","Venetia; British schoolgirl, who suggested in 1930 the name “Pluto” for Tombaugh’s newly discovered planet (1918–2009)."
Challenger Colles,Pluto,76.00,23.05,195.10,"Collis, colles","May 27, 2022","Second fully operational US Space Shuttle, first launched on April 4, 1983. It was lost during its tenth launch on January 28, 1986."
Chandrayaan Linea,Pluto,377.00,19.21,338.08,"Linea, lineae","Apr 11, 2023","A series of Indian lunar probes, beginning in 2008."
Coleman Mons,Pluto,32.00,-24.17,167.98,"Mons, montes","Sep 02, 2021",Elizabeth “Bessie”; early American aviator and the first woman of African-American and Native American descent to earn a pilot’s license (1892-1926).
Columbia Colles,Pluto,49.00,28.53,196.36,"Collis, colles","May 27, 2022","First fully operational US space shuttle, launched first on April 12, 1981, and lost during re-entry on February 1, 2003."
Coradini,Pluto,38.00,42.88,191.43,"Crater, craters","May 27, 2022",Angioletta; Italian planetary scientist (1946-2011).
Coughlin,Pluto,45.00,15.24,150.54,"Crater, craters","Jan 03, 2020","Thomas Boyd; American mechanical/space engineer, first project manager of the New Horizons mission to Pluto and the Kuiper Belt (1941–2014)."
Djanggawul Fossae,Pluto,585.00,41.00,84.31,"Fossa, fossae","Aug 08, 2017",Ancestral beings in Yolngu (Australia) myth who traveled between the island of the dead and Australia.
Dumuzi Fossa,Pluto,619.00,30.56,127.90,"Fossa, fossae","Feb 03, 2021","In ancient Sumerian mythology, Dumuzi was a god of the harvest. He was taken down into the Underworld, but permitted to return to earth for half of each year, resulting in the cycle of the seasons."
Edgeworth,Pluto,149.00,6.86,109.42,"Crater, craters","Feb 03, 2021","Kenneth; Irish astronomer, the first to propose the existence of a disk of bodies beyond the orbit of Neptune, now known as the Edgeworth-Kuiper Belt (1880-1972)."
Elcano Montes,Pluto,488.00,-26.04,143.70,"Mons, montes","May 30, 2019","Juan Sebastián; Spanish explorer of Basque origin, who completed in 1522 the first circumnavigation of the Earth which started in 1519 under the leadership of Magellan (c.1476–1526)."
Elliot,Pluto,96.00,12.04,138.86,"Crater, craters","Aug 08, 2017","James; American astronomer, discoverer of the atmosphere of Pluto (1943–2011)."
Farinella,Pluto,20.00,50.87,179.24,"Crater, craters","Sep 11, 2024","Paolo; Italian planetary scientist who conducted critical investigations of the formation and collisional evolution of small bodies, satellites, and space debris, including Kuiper Belt objects (1953-2000)."
Gibson,Pluto,19.00,49.17,138.38,"Crater, craters","Jan 08, 2025",William C.; Original Science Payload Manager of the New Horizons mission to Pluto and the Kuiper Belt (1945-2017).
Giclas,Pluto,49.00,39.79,201.82,"Crater, craters","Jan 08, 2025","Henry L.; astronomer at Lowell Observatory, who obtained early photographic plates that remain critical to determination of Pluto’s orbit (1910-2007)."
Hardaway,Pluto,11.07,46.85,140.97,"Crater, craters","Aug 05, 2020","Lisa; Led the development of the RALPH instrument, the visual and infrared imager and spectrometer on the New Horizons spacecraft (1966-2017)."
Hardie,Pluto,25.00,23.82,141.58,"Crater, craters","Jan 03, 2020","Robert H.; American astronomer, co-discoverer (1955) of Pluto’s 6.4-day rotation period (1923–1989)."
Harrington Regio,Pluto,1213.00,-7.05,282.54,"Regio, regiones","Sep 11, 2024",Robert S.; American astronomer at the US Naval Observatory who is considered the co-discoverer of Charon and was the first to calculate the Pluto system’s mass (1942-1993).
