Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Aananin,Rhea,0.00,34.90,339.90,"Crater, craters",1982,Korean god of the Heavens.
Abassi,Rhea,87.20,-21.30,146.50,"Crater, craters","Apr 23, 2010",Efik (Ghana) creator god.
Adjua,Rhea,0.00,40.20,118.90,"Crater, craters",1982,Mythical heroine and ancestor of the Ulci tribe.
Agunua,Rhea,0.00,63.30,66.20,"Crater, craters",1982,"San Cristobal (Melanesia) god who made sea, land, people."
Ambat,Rhea,42.90,-76.40,301.70,"Crater, craters","Jun 17, 2010","Creator of islands from the giant shellfishes in mythology of Malekula Island (New Hebrides/Vanuatu, Melanesia)."
Ameta,Rhea,0.00,53.30,21.90,"Crater, craters",1982,Ceram (Indonesia) ancestor whose blood made Hainuwele.
Amma,Rhea,31.40,-26.40,282.70,"Crater, craters","Jun 17, 2010",Dogon (Mali) creator of the universe.
Amotken,Rhea,64.60,0.70,202.70,"Crater, craters","Jun 17, 2010","Salish (NW USA, SW Canada) creator deity, wise and kind old man."
Anansi,Rhea,49.00,-63.00,213.60,"Crater, craters","Jun 17, 2010","Spider in Ashanti (Ghana) mythology, who created the sun, moon, stars, and mankind."
Anguta,Rhea,46.70,25.70,190.00,"Crater, craters","Apr 23, 2010","Eskimo/Inuit (N. Canada) supreme being who created everything, father of the sea goddess Sedna."
Arunaka,Rhea,0.00,-15.30,22.10,"Crater, craters",1982,Inca creator of all things.
Atabei,Rhea,30.40,16.00,250.70,"Crater, craters","Jun 17, 2010","Taino (Puerto Rico) mother goddess, the “First-In-Existence.”"
Atum,Rhea,0.00,-47.10,1.10,"Crater, craters",1982,Old creator God of Heliopolis; became son of Ptah.
Avaiki Chasmata,Rhea,580.00,25.00,279.00,"Chasma, chasmata","Aug 06, 2010","Underworld in mythology of Cook Islands (Polynesia), home for mother of Vatea, the ancestor of gods and humans."
Awonawilona,Rhea,49.80,-37.30,150.30,"Crater, craters","Apr 23, 2010","Zuni (New Mexico, USA) primeval deity, supreme life giver."
Bulagat,Rhea,0.00,-38.20,15.20,"Crater, craters",1982,Mythological ancestor of the Buriat tribe.
Bumba,Rhea,0.00,63.10,50.40,"Crater, craters",1982,"Bushongo; dwelt in primordial waters; vomited up sun, moon, stars, animals, and men. Showed man how to make fire."
Burkhan,Rhea,0.00,66.80,310.60,"Crater, craters",1982,Buriat (Siberia) god who created world.
