Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Aaru,Titan,0.00,10.00,340.00,Albedo Feature,2006,Egyptian abode of the blessed dead.
Abaya Lacus,Titan,65.00,73.17,45.55,"Lacus, lacūs","Sep 27, 2007",Lake in Ethiopia.
Adiri,Titan,0.00,-10.00,210.00,Albedo Feature,2006,Melanesian afterworld where life is easier than on Earth.
Afekan,Titan,115.00,25.80,200.30,"Crater, craters","Aug 04, 2008",New Guinea goddess of creation and knowledge who teaches people how to live correctly.
Akmena Lacus,Titan,35.60,85.10,55.60,"Lacus, lacūs","Aug 07, 2017",Lake in Lithuania.
Albano Lacus,Titan,6.20,65.90,236.40,"Lacus, lacūs","Sep 16, 2010",Lake in Italy.
Anbus Labyrinthus,Titan,120.00,39.20,215.00,"Labyrinthus, labyrinthi","Mar 01, 2017","Planet from the Dune series; IV Anbus, home of Tibana, an apologist for Socratic Christianity."
Angmar Montes,Titan,230.00,-10.00,221.90,"Mons, montes","Dec 05, 2011","Name of a mountain range from Middle-earth, the fictional setting in fantasy novels by J.R.R. Tolkien."
Annecy Lacus,Titan,20.00,76.80,128.90,"Lacus, lacūs","Jun 26, 2017",Lake in France.
Antilia Faculae,Titan,260.00,-11.00,187.00,"Facula, faculae",2006,"Archipelago corresponding to the mythical island of Antilia, once thought to lie midway between Europe and the Americas."
Apanohuaya Flumen,Titan,64.00,84.29,297.24,"Flumen, flumina","Mar 12, 2020",Mythological river in the Aztec Underworld.
Ara Fluctus,Titan,70.00,39.80,118.40,"Fluctus, fluctūs","Mar 02, 2007","Armenian god famous for his beauty, also known as a resurrected god who dies and is reborn periodically."
Arala Lacus,Titan,12.30,78.10,124.90,"Lacus, lacūs","Jun 26, 2017",Lake in Mali.
Arnar Sinus,Titan,101.00,72.60,322.00,"Sinus, sinūs","Jan 19, 2015",Fjord in Iceland.
Arrakis Planitia,Titan,337.40,-78.40,117.00,"Planitia, planitiae","Apr 05, 2010","Planet from the Dune series; home of the Fremen, a group of fictional people whose culture revolves around preservation and conservation of water, which is a rare commodity on the planet."
Arwen Colles,Titan,64.00,-7.50,260.00,"Collis, colles","Dec 19, 2012","Daughter of Elrond; character from Middle-earth, the fictional setting in fantasy novels by J.R.R. Tolkien."
Atacama Lacuna,Titan,35.90,68.20,227.60,"Lacuna, lacunae","Dec 21, 2010",Intermittent lake (salar) in Chile.
Atitlán Lacus,Titan,13.70,69.30,238.80,"Lacus, lacūs","Sep 16, 2010",Lake in Guatemala.
Aura Undae,Titan,490.00,13.79,226.86,"Unda, undae","Jul 20, 2015",Greek Titanis goddess of the morning wind.
Avacha Sinus,Titan,51.00,82.87,335.43,"Sinus, sinūs","Mar 12, 2020",Gulf and bay in NE Russia (Kamchatka Peninsula).
Aztlan,Titan,0.00,-10.00,20.00,Albedo Feature,2006,Mythical land from which the Aztecs believed they migrated.
Bacab Virgae,Titan,485.00,-19.00,151.00,"Virga, virgae",2006,Mayan rain god.
Baffin Sinus,Titan,110.00,80.35,344.62,"Sinus, sinūs","Jan 09, 2018",Bay in Canada.
Balaton Lacus,Titan,35.60,82.90,87.50,"Lacus, lacūs","Aug 07, 2017",Lake in Hungary.
Bayta Fretum,Titan,165.00,73.00,311.20,"Fretum, freta","Jan 19, 2015","Bayta Darell, fictional character in Isaac Asimov's Foundation Series, wife of the Trader Tran Darell and grandmother of famous author Arcadia “Arcady” Darell."
Bazaruto Facula,Titan,215.00,11.60,16.10,"Facula, faculae",2006,Mozambique island.
