Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Abatos Planum,Triton,0.00,-21.50,58.00,"Planum, plana",1991,"Egyptian sacred island in Nile, “;paradise.“;"
Akupara Maculae,Triton,0.00,-27.50,63.00,"Macula, maculae",1991,Tortoise upholding the world (India).
Amarum,Triton,0.00,26.00,24.50,"Crater, craters",1991,Quecha (Ecuador) water boa.
Andvari,Triton,0.00,20.50,34.00,"Crater, craters",1991,Norse fish shaped dwarf.
Apep Cavus,Triton,0.00,20.00,301.50,"Cavus, cavi",1991,Egyptian dragon of darkness.
Awib Dorsa,Triton,0.00,-7.00,80.00,"Dorsum, dorsa",1991,Nama Bushman word for rain.
Bheki Cavus,Triton,0.00,16.00,308.00,"Cavus, cavi",1991,Frog symbolizing the sun on the horizon (India).
[Bia Sulci],Triton,0.00,-38.00,3.00,"Sulcus, sulci",1991,Yoruba; river named for obedient son of god.
Boynne Sulci,Triton,0.00,-13.00,350.00,"Sulcus, sulci",1991,Celtic mythological river.
Bubembe Regio,Triton,0.00,18.00,335.00,"Regio, regiones",1991,Island location of temple of Mukasa (Uganda).
Cay,Triton,11.00,-6.15,54.73,"Crater, craters",1991,Mayan deity.
Cipango Planum,Triton,0.00,11.50,34.00,"Planum, plana",1991,Legendary island described by Marco Polo.
Dagon Cavus,Triton,0.00,29.00,345.00,"Cavus, cavi",1991,Babylonian fertility god represented as a fish.
Dilolo Patera,Triton,0.00,26.00,24.50,"Patera, paterae",1991,Angolan sacred lake.
Doro Macula,Triton,0.00,-27.50,31.70,"Macula, maculae",1991,"Nanay mistress of fishing, Sea of Okhotsk."
Gandvik Patera,Triton,0.00,28.00,5.50,"Patera, paterae",1991,"Tortuous sea; literally, “;Serpent Bay“; (Norse)."
Hekt Cavus,Triton,0.00,26.00,342.00,"Cavus, cavi",1991,Egyptian frog goddess.
Hili,Triton,0.00,-57.00,35.00,"Plume, plumes",1991,Zulu water-sprite.
Hirugo Cavus,Triton,0.00,14.50,345.00,"Cavus, cavi",1991,Japanese deity born in shape of a jellyfish.
Ho Sulci,Triton,0.00,2.00,305.00,"Sulcus, sulci",1991,Chinese sacred river.
