Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Alberich,Umbriel,52.00,-33.60,42.20,"Crater, craters",1988,"Dwarf who guarded Niebelung gold, also had a mantle of invisibility."
Fin,Umbriel,43.00,-37.40,44.30,"Crater, craters",1988,"Troll who helped build a church in Kallundburg, Zealand."
Gob,Umbriel,88.00,-12.70,27.80,"Crater, craters",1988,King of gnomes.
Kanaloa,Umbriel,86.00,-10.80,345.70,"Crater, craters",1988,Polynesian chief evil spirit.
Malingee,Umbriel,164.00,-22.90,13.90,"Crater, craters",1988,Aboriginal spirit who travels at night.
Minepa,Umbriel,58.00,-42.70,8.20,"Crater, craters",1988,Macouas and Banayis evil spirit.
Peri,Umbriel,61.00,-9.20,4.30,"Crater, craters",1988,Persian evil spirit who disguised malevolence by charm; disturbed natural elements and heavenly bodies.
Setibos,Umbriel,50.00,-30.80,346.30,"Crater, craters",1988,Chief devil.
Skynd,Umbriel,72.00,-1.80,331.70,"Crater, craters",1988,Troll who stole three wives of a man living in Englerup.
Vuver,Umbriel,98.00,-4.70,311.60,"Crater, craters",1988,Volga Finn evil spirit.
Wokolo,Umbriel,208.00,-30.00,1.80,"Crater, craters",1988,Baramba (West Africa) devil spirit.
Wunda,Umbriel,131.00,-7.90,273.60,"Crater, craters",1988,Australian dark spirit.
Zlyden,Umbriel,44.00,-23.30,326.20,"Crater, craters",1988,Slavic evil spirit.
