Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Abe Mango Dorsa,Venus,800.00,47.00,212.00,"Dorsum, dorsa",1997,Tukano (Brazil) daughter of sun god.
Abeona Mons,Venus,375.00,-44.80,273.10,"Mons, montes",1997,Roman goddess of travelers.
Abigail,Venus,18.40,-52.20,111.20,"Crater, craters",1994,First name from Hebrew.
Abika,Venus,14.50,-52.50,104.40,"Crater, craters",1994,Mari first name.
Abington,Venus,21.70,-47.80,277.70,"Crater, craters",1994,Frances; English actress (1737-1815).
Abra,Venus,7.20,6.20,97.40,"Crater, craters",1997,Ewe first name.
Abundia Corona,Venus,250.00,18.50,125.00,"Corona, coronae",1994,Norse goddess of giving.
Achall Corona,Venus,265.00,-31.20,259.60,"Corona, coronae",2006,Celtic earth and nature goddess.
Achek Dorsa,Venus,1000.00,-37.20,230.00,"Dorsum, dorsa",1997,Dinka (Sudan) wife of rain god Deng.
Acrea Corona,Venus,200.00,24.20,243.70,"Corona, coronae",2003,Greek resplendent mother goddess.
Adaiah,Venus,18.00,-47.30,253.40,"Crater, craters",1994,Hebrew first name.
Adamson,Venus,27.20,-14.80,29.60,"Crater, craters",1994,"Joy; Austrian author, animal expert (1910-1980)."
Addams,Venus,87.00,-56.20,98.90,"Crater, craters",1994,Jane; American social reformer (1860-1935).
Aditi Dorsa,Venus,1200.00,-30.00,189.00,"Dorsum, dorsa",1997,Indian sky goddess.
Adivar,Venus,30.30,8.90,76.20,"Crater, craters",1991,"Halide; Turkish educator, author (1883-1964)."
Adrasthea Tesserae,Venus,750.00,30.00,55.00,"Tessera, tesserae",1997,Greek goddess of law.
Adzoba,Venus,10.00,12.80,117.00,"Crater, craters",1997,Ewe (Ghana) first name.
Aegina Farrum,Venus,60.00,35.50,20.90,"Farrum, farra",1994,Greek river nymph.
Aeracura Corona,Venus,250.00,-19.00,238.50,"Corona, coronae",1994,Celtic earth goddess.
Aethelflaed,Venus,20.00,-18.20,196.60,"Crater, craters",1994,English leader of the Mercians (c. 884-918).
Afiba,Venus,9.50,-47.10,102.70,"Crater, craters",1997,Ewe first name.
Afiruwa,Venus,5.20,4.30,3.80,"Crater, craters",1997,Hausa first name.
Aftenia,Venus,7.00,49.95,324.00,"Crater, craters",1997,Moldavian first name.
Afua,Venus,10.00,15.50,124.00,"Crater, craters",1997,Akan (Ghana) first name.
Aglaonice,Venus,63.70,-26.40,339.90,"Crater, craters",1991,Ancient Greek astronomer.
Agnesi,Venus,42.40,-39.40,37.70,"Crater, craters",1991,Maria; Italian mathematician (1718-1799).
Agoe,Venus,6.30,13.10,4.30,"Crater, craters",1997,Eve first name.
Agraulos Corona,Venus,170.00,-27.70,165.80,"Corona, coronae",1994,Greek fertility goddess.
Agrippina,Venus,38.60,-33.20,65.70,"Crater, craters",1991,Roman empress (c. 13 B.C.-A.D. 33).
Agrona Linea,Venus,2300.00,40.00,280.00,"Linea, lineae",2006,"Welsh goddess of slaughter, destroyer of life."
Ahava,Venus,10.40,53.60,187.30,"Crater, craters",1997,Hebrew first name.
Ahsabkab Vallis,Venus,700.00,-24.00,79.00,"Vallis, valles",2000,Mayan name for morning Venus.
Ahsonnutli Dorsa,Venus,1708.00,47.90,196.50,"Dorsum, dorsa",1985,Navajo (N. America) spirit of light and sky.
Aibarchin Planitia,Venus,1200.00,-73.00,25.00,"Planitia, planitiae",1997,Uzbek “;Alpamysh“; epic tale heroine.
Aida-Wedo Dorsa,Venus,450.00,73.00,214.00,"Dorsum, dorsa",1997,Haitian rainbow spirit.
Aife Fossae,Venus,280.00,67.00,131.00,"Fossa, fossae",1997,Irish warrior deity.
Aigul,Venus,6.00,38.20,280.40,"Crater, craters",1997,Kalmyk first name.
Aikhylu Chasma,Venus,300.00,32.00,292.00,"Chasma, chasmata",1997,Bashkir myth's moon daughter.
Ailar,Venus,8.20,-15.80,68.40,"Crater, craters",1997,Turkman first name.
Aimee,Venus,17.00,16.10,127.20,"Crater, craters",1994,French first name.
Aino Planitia,Venus,4985.00,-40.50,94.50,"Planitia, planitiae",1982,Finnish heroine who became water spirit.
Aisha,Venus,10.60,39.30,53.30,"Crater, craters",1997,Kyrgyz first name.
Aita,Venus,14.00,8.90,270.70,"Crater, craters",1994,Estonian first name.
Aitchison Patera,Venus,28.00,-16.70,349.40,"Patera, paterae",1994,Alison; American geographer.
Ajina Fossae,Venus,300.00,-45.00,258.00,"Fossa, fossae",1997,Tajik evil spirit.
Akeley,Venus,23.40,8.00,244.50,"Crater, craters",1994,Delia; American explorer (1875-1970).
Ak-Ene Corona,Venus,150.00,9.40,254.70,"Corona, coronae",2003,"Altay Great Mother, “;White Mother.“;"
Akewa Dorsa,Venus,900.00,45.50,184.00,"Dorsum, dorsa",1997,Toba (Argentina) sun goddess.
Akhmatova,Venus,41.40,61.30,307.90,"Crater, craters",1985,Anna; Soviet poet (1889-1966).
Akhtamar Planitia,Venus,2700.00,27.00,65.00,"Planitia, planitiae",1997,Armenian epic heroine.
Akiko,Venus,17.40,30.60,187.30,"Crater, craters",1994,Yosano; Japanese Tanka poetess (1878-1942).
